year,city,number_of_self_employees,number_of_employees,employees_average_monthly_wage,employees_average_monthly_wage_change_in_percent,self_employees_average_monthly_wage,self_employees_average_monthly_wage_change_in_percent
2018,קריית ארבע,142,3171,6582.03,0.74,8140.22,-4.04
2018,קריית אתא,2072,29481,9100.3,0.95,9371.69,-0.99
2018,קריית ביאליק,1383,20440,9569.52,0.46,9682.85,1.78
2018,קריית גת,1673,27907,7597.57,3.15,9300.77,-2.37
2018,קריית טבעון,1073,7829,12344.11,-2.87,10769.65,-1.44
2018,קריית ים,1155,19911,7965.66,0.47,8001.73,2.88
2018,קריית יערים,198,1753,6447.03,4.73,10186.74,-9.58
2018,קריית מוצקין,1494,22895,10041.7,0.02,10413.89,3.52
2018,קריית מלאכי,725,11532,6986.75,4.24,8542.55,1.43
2018,קריית ענבים,209,3867,9406.61,-1.29,9756.88,-8.62
2018,קריית עקרון,480,5651,8518.99,2.85,9429.17,4.66
2018,קריית שמונה,719,11912,7920.29,1.93,8954.71,1.44
2018,קרני שומרון,287,3984,9496.79,1.96,8804.78,-3.52
2018,ראמה,401,3739,7765.32,1.86,7645.03,3.71
2018,ראש העין,2620,31384,11213.7,2.94,10955.73,0.13
2018,ראש פינה,2861,25291,11233.35,1.74,11106.03,2.28
2018,ראשון לציון,12038,132020,10700.19,1.17,11289.53,1.99
2018,רהט,917,20708,5719.18,5.28,10398.62,0.97
2018,רחובות,5462,67840,11061.87,1.52,10664.48,1.7
2018,ריינה,597,6636,6365.21,3.34,9184.6,1.15
2018,רכסים,224,3671,5591.26,0.12,6092.22,0.23
2018,רמלה,2695,36319,7825.54,2.65,9151.36,1.26
2018,רמת גן,8924,79088,11569.69,1.04,11599.9,2.06
2018,רמת השרון,3275,20993,14603.7,0.25,13401.05,0.49
2018,רמת ישי,370,3904,13061.73,0.99,10371.51,0.75
2018,רעננה,4664,34939,13080.3,0.61,12469.6,-0.76
2018,שבלי - אום אל-גנם,229,2574,6768.82,2.3,9767.79,1.16
2018,שגב-שלום,90,3084,5716.08,4.78,8802.54,15.83
2018,שדה דוד,893,8319,11189.11,2.97,10878.67,2.48
2018,שדה משה,1902,10080,12760.07,0.02,11154.67,6.56
2018,שדות מיכה,468,2863,13900.15,0.11,11617.09,-0.42
2018,שדרות,817,14188,8180.02,4.16,10607.21,7.21
2018,שוהם,1011,11367,15412.68,0.73,14639.65,0.12
2018,שחר,501,6440,9140.44,3.07,9268.04,-2.13
2018,שלומי,262,3466,9398.34,4.47,12094.64,9.95
2018,שעב,211,2967,5972.64,3.58,7770.71,5.76
2018,שפרעם,1395,18038,6911.34,2.31,9211.76,3.72
2018,תל אביב -יפו,31581,242777,12273.3,4.91,12230.61,2.7
2018,תל מונד,819,6363,14684.63,0.35,14190.86,4.6
2018,תל שבע,184,5146,5429.05,2.04,12375.35,8.73
2017,אבו גוש,133,3131,7054.72,6.82,8772.3,13.24
2017,אבו סנאן,477,5343,6688.53,7.21,8121.12,2.05
2017,אבן יהודה,711,6131,14368.2,5.8,13007.42,-1.05
2017,אום אל-פחם,1655,19324,5650.87,5.2,8745.47,4.48
2017,אופקים,257,3229,9677.47,4.25,10588.17,13.84
2017,אור יהודה,1440,17225,8305.45,5.47,10347.23,4.09
2017,אור עקיבא,649,9453,7862.59,6.87,8921.68,4.15
2017,אורנית,481,4443,13479.64,5.69,12211.06,0.48
2017,אזור,600,5932,9579.82,4.73,12182.24,11.12
2017,אילת,2091,31478,8236.25,6.67,11438.42,3.45
2017,איתן,197,3787,11001.72,1.34,12464.09,7.07
2017,אכסאל,624,5350,6694.91,5.76,10519.37,1.54
2017,אליכין,214,4576,12473.46,4.7,14547.28,-0.4
2017,אלעד,951,12946,6566.99,5.38,7638.76,0.29
2017,אלפי מנשה,406,3940,12452.47,5.25,11330.75,1.0
2017,אלקנה,103,1708,11939.51,6.86,13456.77,-4.19
2017,אעבלין,447,5387,6474.24,5.03,7867.86,6.13
2017,אפרת,316,4529,10484.86,5.52,13999.52,6.82
2017,אריאל,534,10181,9010.14,5.32,9385.55,6.44
2017,אשבול,918,7854,8942.82,3.57,9624.45,7.8
2017,אשדוד,5667,101717,8563.71,5.93,9718.46,4.32
2017,אשקלון,3884,67187,8239.31,7.57,9493.29,5.42
2017,באקה אל-גרביה,1033,11495,6707.76,4.58,9120.76,-0.44
2017,באר יעקב,954,11662,11568.5,7.57,12349.76,4.11
2017,באר שבע,4058,98277,8931.66,6.79,10086.02,5.04
2017,בועיינה-נוג'ידאת,212,3884,5903.76,8.04,9071.08,14.61
2017,בוקעאתא,282,2426,5690.18,7.06,7239.43,15.56
2017,ביר אל-מכסור,169,3742,6143.43,6.94,8886.76,12.87
2017,בית אל,98,2355,7561.2,6.78,8854.4,0.5
2017,בית אריה,241,2577,11185.4,5.0,11815.31,2.51
2017,בית ג'ן,336,5315,7199.42,13.36,6338.33,4.55
2017,בית דגן,313,3329,10432.1,6.01,11234.09,6.33
2017,בית ניר,2186,17488,12568.64,2.96,12046.43,7.4
2017,בית שאן,440,9464,7533.84,7.5,9964.66,-0.26
2017,בית שמש,2174,34157,7028.71,4.98,8789.87,2.64
2017,ביתר עילית,808,14287,5128.2,7.07,6918.14,2.79
2017,בני ברק,2792,56214,6036.72,5.86,8289.76,3.97
2017,"בני עי""ש",174,3712,8040.73,6.43,7643.93,4.77
2017,בנימינה-גבעת עדה*,744,6609,14087.97,3.75,13228.17,4.03
2017,"בסמ""ה",282,3894,5978.88,3.6,8089.42,7.38
2017,בסמת טבעון,204,3263,6230.03,5.48,8597.59,8.49
2017,בענה,244,3348,5315.78,6.13,8176.74,-3.72
2017,בת ים,4071,64073,7562.0,5.34,9088.13,5.86
2017,בת שלמה,1066,10252,11324.94,5.63,14259.39,11.41
2017,גבעת זאב,577,7350,8820.84,3.18,9923.12,5.42
2017,גבעת שמואל,871,11381,13114.45,4.54,15110.33,0.09
2017,גבעתיים,2677,28422,13133.41,5.41,13671.63,6.24
2017,גדות,297,3787,13052.1,5.1,11918.41,1.03
2017,ג'דיידה-מכר,577,8742,5971.63,5.27,9484.02,10.79
2017,גדרה,828,11846,11791.2,5.74,12386.06,6.25
2017,ג'ולס,136,2975,8042.58,10.69,5962.6,12.48
2017,ג'לג'וליה,329,3891,5483.67,5.43,7795.44,10.53
2017,גן יבנה,862,11550,11437.08,4.67,11771.24,8.72
2017,גן שמואל,1266,17671,10098.84,7.33,10292.9,5.88
2017,גני תקווה,780,8671,14354.2,4.48,15606.89,8.43
2017,ג'סר א-זרקא,109,6093,5491.9,7.97,7799.0,8.24
2017,גפן,328,4526,9483.48,7.74,11246.8,-2.72
2017,ג'ש (גוש חלב),187,1477,8482.25,5.29,10826.14,9.22
2017,ג'ת,495,5104,7726.84,5.83,8162.79,2.67
2017,דאלית אל-כרמל,755,7631,7730.35,9.31,7686.85,7.59
2017,דבורייה,412,4089,6716.75,2.64,9324.34,3.86
2017,דייר אל-אסד,374,5074,6899.07,7.7,9865.84,6.13
2017,דייר חנא,309,4505,6457.86,4.67,8330.43,8.35
2017,דימונה,619,17380,9212.31,6.71,9296.34,12.15
2017,הוד השרון,2876,29146,14004.92,5.09,13306.73,4.64
2017,הר אדר,165,1992,15096.73,2.92,17673.25,8.06
2017,הרצלייה,4262,43884,12333.64,5.45,12870.13,5.64
2017,זכרון יעקב,1017,10150,13898.9,4.35,11569.95,0.97
2017,זמר,299,2859,6818.34,4.6,7668.81,3.38
2017,זרזיר,145,3259,6153.73,10.55,10325.95,-2.94
2017,חדרה,3264,46781,8986.63,6.08,9557.19,4.81
2017,חולון,7256,90822,9425.2,5.07,10847.01,5.01
2017,חורה,186,4143,6112.06,6.66,8246.45,-2.77
2017,חורפיש,235,2723,8112.14,12.77,6438.0,1.18
2017,חיפה,7775,128684,10136.09,4.82,11178.78,5.27
2017,חצבה,316,5327,10820.72,3.89,11129.85,3.16
2017,חצור הגלילית,257,4414,7340.72,8.95,8458.82,7.33
2017,חריש,280,3863,8703.01,-1.14,8552.89,6.95
2017,טבריה,1167,20002,6688.11,7.71,8220.74,4.44
2017,טובא-זנגרייה,131,2997,5939.42,6.08,10161.43,3.2
2017,טורעאן,578,5437,6087.52,5.84,11887.34,1.57
2017,טייבה,1536,17035,6219.88,6.15,8043.29,6.38
2017,טירה,1178,11180,6763.1,6.33,8216.15,7.16
2017,טירת כרמל,572,11079,8295.83,8.86,8978.43,4.22
2017,טמרה,952,13453,5887.57,7.46,9410.0,5.08
2017,יאנוח-ג'ת,169,2916,7604.63,9.75,6970.95,11.62
2017,יבנאל,141,1374,6530.6,7.19,7726.23,5.53
2017,יבנה,1583,22948,10119.55,6.05,11503.19,6.61
2017,יהוד,1226,14735,11540.21,4.12,12616.37,7.9
2017,יסוד המעלה,132,2471,10495.93,8.89,14875.28,19.66
2017,יפיע,611,7575,6124.97,4.9,8848.24,2.55
2017,יקנעם עילית,551,11939,11484.84,4.89,11311.08,7.96
2017,ירוחם,144,4627,8341.6,8.19,10558.13,11.23
2017,ירושלים,19705,289914,7529.44,4.67,9266.77,4.6
2017,ירכא,577,6093,6977.41,9.44,8274.94,11.72
2017,כאבול,329,4708,6421.18,7.67,7387.45,4.43
2017,כאוכב אבו אל-היג'א,103,1614,7114.07,4.61,7172.34,4.57
2017,כוכב יאיר,490,4987,14589.46,3.38,14957.1,2.27
2017,כסיפה,126,4353,6067.11,8.74,9336.77,13.56
2017,כסרא-סמיע,230,3493,7477.72,9.25,6502.13,-0.58
2017,כעביה-טבאש-חג'אג'רה,118,2318,6343.43,6.94,8067.45,6.58
2017,כפר ברא,132,1465,6605.73,3.48,8256.16,-6.72
2017,כפר גלעדי,686,9447,9591.67,4.6,11376.4,5.56
2017,כפר ורדים,263,2790,13700.6,1.56,10633.96,4.0
2017,כפר יאסיף,525,4561,7071.98,6.39,8413.7,8.84
2017,כפר יונה,998,10443,11095.18,6.13,11474.75,4.81
2017,כפר כמא,112,1578,8428.66,8.28,8844.62,0.85
2017,כפר כנא,669,8376,5589.56,5.29,9145.89,2.9
2017,כפר מנדא,593,6865,5268.58,4.85,9239.94,4.18
2017,כפר סבא,3945,47907,12609.41,5.19,12667.41,5.78
2017,כפר קאסם,907,9230,6107.36,5.37,7961.69,8.62
2017,כפר קרע,718,8309,7238.77,4.6,9007.06,2.43
2017,כפר שמריהו,92,733,16694.21,6.64,13396.11,9.21
2017,כפר תבור,194,2132,12928.82,6.32,12663.54,9.32
2017,כרמיאל,1213,23491,8959.23,6.11,9422.32,10.54
2017,להבים,166,3317,16896.89,4.9,21871.11,2.38
2017,לוד,1628,33763,7443.14,4.85,8639.28,7.05
2017,לוזית,781,4946,9818.01,6.25,10730.92,4.96
2017,לקיה,147,4176,5797.15,6.57,9066.13,14.83
2017,מבשרת ציון,855,11615,12165.58,4.49,13065.99,10.11
2017,מגאר,672,8994,6617.64,10.76,8551.15,3.85
2017,מג'ד אל-כרום,451,6505,5907.14,5.46,9460.75,3.89
2017,מגדל,161,3064,6022.64,8.59,7568.57,1.9
2017,מגדל העמק,492,12527,7504.04,7.02,8821.13,-0.24
2017,מג'דל שמס,687,4236,5341.25,7.27,7361.85,13.05
2017,מודיעין עילית,988,14614,4914.89,6.35,5690.68,3.27
2017,מודיעין-מכבים-רעות*,3247,42069,14491.31,5.21,13375.47,4.71
2017,מזכרת בתיה,334,3578,13320.39,4.06,11933.91,15.16
2017,מזרעה,127,1889,6515.07,6.93,8405.96,11.51
2017,מטולה,77,907,8977.07,5.91,11085.75,7.25
2017,מיתר,253,4605,15582.4,4.28,14287.68,9.25
2017,מנחמיה,247,3059,10404.29,12.21,12061.54,12.37
2017,מסעדה,230,1422,5360.89,7.06,6706.76,7.02
2017,מעיליא,130,1537,9191.36,2.34,10513.49,15.06
2017,מעלה אדומים,997,19348,9631.5,6.09,10827.87,6.8
2017,מעלה אפרים,27,744,7351.77,7.49,8160.59,-0.63
2017,מעלה עירון,417,5549,5906.9,4.19,9054.1,5.47
2017,מעלות-תרשיחא,597,10949,8276.19,6.57,9250.32,1.72
2017,מצפה רמון,133,2432,7254.25,12.01,8132.53,6.58
2017,מרחביה (קיבוץ),204,3304,6776.86,5.96,9587.95,5.08
2017,משהד,257,3170,5726.92,4.44,9684.21,5.51
2017,נהרייה,1654,28479,9650.2,4.59,11419.07,11.17
2017,נוגה,410,3594,9575.27,5.93,10133.34,6.26
2017,נועם,1385,13419,12279.07,4.9,12371.26,4.9
2017,נחף,372,4898,5994.91,6.12,6609.18,-1.56
2017,ניר עוז,172,3237,5488.82,1.34,9606.48,37.83
2017,נס ציונה,1787,22393,13501.67,4.01,13448.57,6.16
2017,נצרת,2607,31866,6609.83,4.97,9697.53,3.68
2017,נצרת עילית,1070,21269,7516.91,4.1,9486.77,0.54
2017,נשר,637,11681,10121.48,5.62,10634.59,6.08
2017,נתיבות,759,14832,6862.43,7.89,8854.18,2.79
2017,נתניה,7283,97576,8831.2,5.04,10013.43,3.71
2017,סאג'ור,107,1967,7525.89,15.65,5635.67,10.76
2017,סביון*,174,1890,17641.85,2.86,16706.59,0.12
2017,סח'נין,1036,12917,6482.92,5.07,8455.97,6.01
2017,ע'ג'ר,68,1053,7236.32,3.08,7569.7,-11.77
2017,עומר,243,3925,16675.38,4.18,15950.84,2.25
2017,עוצם,252,2196,14599.64,4.85,12895.42,5.89
2017,עיילבון,215,2548,7859.1,8.23,8811.22,2.47
2017,עילוט,218,2754,5575.9,2.64,11426.07,1.28
2017,עין הוד,51,862,9774.9,-7.92,11777.24,2.37
2017,עין מאהל,281,5257,5443.67,5.85,7698.49,3.15
2017,עין קנייא,104,901,5987.09,6.79,6934.82,12.4
2017,עכו,1245,23480,7378.44,7.56,9794.74,3.49
2017,עמנואל,48,1264,5056.58,7.86,5257.73,-6.2
2017,עספיא,479,5377,8001.54,4.79,7461.86,10.0
2017,עפולה,1200,24910,7846.46,5.99,9675.04,6.17
2017,עראבה,791,9383,6318.47,3.33,9416.86,3.36
2017,ערד,605,11504,7689.6,5.17,7756.2,6.42
2017,ערערה,582,7967,6631.37,4.72,7726.96,4.19
2017,ערערה-בנגב,127,4049,5969.5,0.75,10910.47,-2.63
2017,עתלית,82,2279,8892.78,9.6,9775.64,-10.21
2017,פוריידיס,403,5474,6101.02,5.54,8603.86,3.73
2017,פסוטה,202,1519,8074.68,8.45,10634.31,12.38
2017,פקיעין (בוקייעה),292,2600,7517.81,6.19,7544.47,3.7
2017,פרדס חנה-כרכור,2158,18647,10701.87,5.95,10655.83,7.89
2017,פרדסייה,318,3368,12642.1,5.48,12764.88,9.87
2017,פתח תקווה,7756,117983,10559.9,5.41,11829.41,4.61
2017,צפת,800,12259,6214.4,6.16,7489.45,8.27
2017,קדומים,120,1842,9535.02,9.74,9608.64,16.22
2017,קדימה-צורן,1149,10334,13134.74,4.38,12362.96,-4.96
2017,קלנסווה,749,8673,6546.75,5.31,8316.36,4.21
2017,קצרין,237,3603,7073.14,7.79,8247.83,5.72
2017,קריית אונו,1500,17677,14532.25,4.4,14648.89,4.57
2017,קריית ארבע,122,3154,6481.88,9.1,9386.76,-3.21
2017,קריית אתא,1531,28174,8943.46,5.68,10241.9,7.11
2017,קריית ביאליק,996,19568,9450.17,5.5,10356.55,2.63
2017,קריית גת,1324,26498,7307.36,8.13,10144.48,5.35
2017,קריית טבעון,776,7452,12608.18,3.38,11758.63,-0.25
2017,קריית ים,870,19257,7865.33,5.44,8427.18,4.77
2017,קריית יערים,160,1579,6106.94,4.79,10445.49,0.34
2017,קריית מוצקין,1089,21399,9959.58,5.66,11050.37,3.82
2017,קריית מלאכי,602,11085,6649.35,8.14,8821.95,-3.09
2017,קריית ענבים,178,3787,9453.53,7.92,11137.17,9.72
2017,קריית עקרון,402,5474,8217.02,7.67,9645.45,5.0
2017,קריית שמונה,584,11772,7708.55,7.27,9461.95,1.6
2017,קרני שומרון,217,3769,9240.53,7.37,9207.59,3.89
2017,ראמה,337,3553,7562.92,9.09,7810.85,10.25
2017,ראש העין,1916,28266,10807.27,8.14,11291.89,7.73
2017,ראש פינה,2067,23759,10954.04,4.2,12244.37,8.87
2017,ראשון לציון,9308,127413,10492.39,4.49,12011.48,5.46
2017,רהט,779,19600,5389.09,8.47,10392.84,5.35
2017,רחובות,4089,64903,10809.66,5.9,11118.12,6.08
2017,ריינה,517,6488,6110.75,6.5,9324.26,5.04
2017,רכסים,178,3444,5540.47,5.87,6179.1,5.86
2017,רמלה,2303,35175,7563.26,6.29,9525.76,6.91
2017,רמת גן,6546,73271,11359.92,4.36,12315.42,6.09
2017,רמת השרון,2262,20299,14451.11,3.65,14523.21,3.05
2017,רמת ישי,245,3796,12830.76,3.85,11261.95,7.08
2017,רעננה,3363,33797,12897.72,4.66,13675.88,4.67
2017,שבלי - אום אל-גנם,202,2484,6563.92,5.28,9818.53,1.17
2017,שגב-שלום,81,2835,5412.12,6.1,7788.1,13.34
2017,שדה דוד,653,8031,10780.45,6.75,11449.49,8.2
2017,שדה משה,1383,9725,12656.66,5.33,11990.46,3.64
2017,שדות מיכה,289,2702,13774.16,9.28,14702.7,15.09
2017,שדרות,667,13349,7790.99,7.98,10473.5,7.84
2017,שוהם,834,11081,15179.94,3.13,15495.02,4.54
2017,שחר,359,6185,8798.16,0.22,10209.63,-0.96
2017,שלומי,207,3260,8925.18,9.1,12219.97,13.91
2017,שעב,188,2817,5720.73,2.44,7031.41,7.4
2017,שפרעם,1215,17138,6701.77,7.25,9028.51,0.16
2017,תל אביב -יפו,24249,232455,11606.02,5.13,12439.3,4.25
2017,תל מונד,667,6103,14516.78,3.61,14192.15,3.12
2017,תל שבע,164,4927,5278.41,5.7,11368.6,-2.45
2016,אבו גוש,132,2948,6591.09,5.56,7731.45,16.73
2016,אבו סנאן,467,5086,6226.12,3.25,7941.96,0.52
2016,אבן יהודה,720,6049,13553.54,0.88,13119.36,2.1
2016,אום אל-פחם,1543,18114,5361.0,1.9,8354.0,6.76
2016,אופקים,253,3057,9264.0,-1.95,9282.0,2.2
2016,אור יהודה,1462,16944,7859.0,0.9,9921.0,4.84
2016,אור עקיבא,616,9183,7343.0,3.7,8549.0,8.56
2016,אורנית,481,4244,12728.87,-0.27,12128.11,9.42
2016,אזור,606,5806,9128.5,0.91,10941.61,2.78
2016,אילת,2123,30531,7706.0,1.5,11035.0,3.25
2016,איתן,180,3771,10835.0,2.87,11618.0,11.47
2016,אכסאל,584,5094,6317.64,4.43,10338.86,7.28
2016,אליכין,199,4284,11889.0,1.45,14576.0,12.6
2016,אלעד,875,12216,6219.0,2.0,7601.0,2.91
2016,אלפי מנשה,407,3833,11807.2,0.08,11196.44,1.47
2016,אלקנה,104,1706,11151.11,-1.1,14017.6,2.77
2016,אעבלין,435,5101,6151.98,5.59,7398.92,3.7
2016,אפרת,304,4145,9916.35,2.29,13078.97,-7.9
2016,אריאל,552,10018,8538.0,2.9,8800.0,-1.71
2016,אשבול,928,7734,8618.0,1.38,8910.0,6.05
2016,אשדוד,5687,99332,8068.0,1.4,9298.0,5.14
2016,אשקלון,3914,64679,7644.0,0.7,8987.0,1.45
2016,באקה אל-גרביה,995,10879,6401.0,3.9,9143.0,1.82
2016,באר יעקב,794,9962,10732.58,2.15,11837.98,9.06
2016,באר שבע,4188,95595,8347.0,1.2,9583.0,2.46
2016,בועיינה-נוג'ידאת,193,3657,5453.69,2.17,7899.1,-7.56
2016,בוקעאתא,296,2300,5304.52,6.25,6252.04,13.41
2016,ביר אל-מכסור,165,3487,5733.17,2.43,7857.91,-5.16
2016,בית אל,98,2312,7066.66,-0.24,8793.02,-1.5
2016,בית אריה,235,2400,10631.45,0.19,11502.92,22.15
2016,בית ג'ן,342,4972,6338.05,-2.13,6050.65,-4.36
2016,בית דגן,308,3302,9820.6,0.54,10543.96,3.64
2016,בית ניר,2168,17308,12183.0,0.51,11194.0,4.3
2016,בית שאן,440,9124,6994.0,0.6,9971.0,8.15
2016,בית שמש,2001,31986,6682.0,2.2,8546.0,2.29
2016,ביתר עילית,719,13256,4780.0,2.9,6717.0,11.86
2016,בני ברק,2748,54655,5691.0,2.5,7957.0,-0.31
2016,"בני עי""ש",183,3645,7539.78,1.1,7281.31,0.52
2016,בנימינה-גבעת עדה*,777,6400,13552.23,0.26,12690.31,1.97
2016,"בסמ""ה",258,3660,5759.74,3.05,7518.74,6.48
2016,בסמת טבעון,182,3087,5894.37,4.42,7909.02,4.89
2016,בענה,228,3106,4998.55,3.6,8475.74,9.86
2016,בת ים,4235,63579,7164.0,2.6,8568.0,3.38
2016,בת שלמה,1141,9684,10700.0,-0.64,12774.0,4.16
2016,גבעת זאב,549,7013,8531.63,2.63,9394.51,0.96
2016,גבעת שמואל,869,10989,12520.0,0.9,15066.0,4.74
2016,גבעתיים,2765,27465,12434.0,2.4,12843.0,3.78
2016,גדות,286,3732,12394.0,0.09,11774.0,10.02
2016,ג'דיידה-מכר,545,8203,5661.6,4.16,8543.3,9.95
2016,גדרה,870,11151,11129.06,-2.42,11634.06,5.09
2016,ג'ולס,144,2720,7251.59,-2.02,5290.26,8.39
2016,ג'לג'וליה,322,3647,5190.86,3.43,7038.57,6.96
2016,גן יבנה,882,10856,10904.56,0.15,10805.09,3.48
2016,גן שמואל,1267,16404,9390.0,1.42,9702.0,2.23
2016,גני תקווה,757,8247,13710.77,2.56,14365.03,5.86
2016,ג'סר א-זרקא,111,5845,5076.17,4.76,7191.13,6.64
2016,גפן,317,4297,8784.0,1.03,11538.0,7.2
2016,ג'ש (גוש חלב),189,1437,8039.93,4.46,9892.81,3.54
2016,ג'ת,492,4865,7286.77,2.45,7934.59,1.48
2016,דאלית אל-כרמל,742,7147,7058.02,0.37,7130.42,8.55
2016,דבורייה,396,3755,6530.81,3.98,8959.67,8.78
2016,דייר אל-אסד,364,4849,6392.74,4.11,9277.23,4.69
2016,דייר חנא,293,4178,6157.56,4.49,7672.9,-7.64
2016,דימונה,616,16558,8616.0,4.9,8273.0,-1.74
2016,הוד השרון,2924,28174,13300.0,1.4,12691.0,2.63
2016,הר אדר,182,1930,14639.6,-1.17,16322.6,4.37
2016,הרצלייה,4415,43006,11673.0,1.7,12159.0,0.43
2016,זכרון יעקב,1032,9783,13292.97,-0.98,11435.65,0.18
2016,זמר,295,2701,6505.53,1.48,7403.21,6.92
2016,זרזיר,135,2981,5555.53,-2.77,10617.32,24.03
2016,חדרה,3201,45455,8454.0,2.4,9101.0,3.55
2016,חולון,7440,89091,8953.0,2.2,10309.0,3.68
2016,חורה,172,3797,5718.92,0.96,8464.77,6.46
2016,חורפיש,242,2510,7179.15,-6.63,6350.49,10.2
2016,חיפה,8086,125978,9651.0,1.0,10598.0,3.33
2016,חצבה,288,5370,10395.0,-0.56,10768.0,17.38
2016,חצור הגלילית,257,4282,6724.42,-0.2,7865.76,7.19
2016,חריש,169,2275,8786.05,-0.48,8130.39,7.83
2016,טבריה,1224,19374,6197.0,0.0,7855.0,16.61
2016,טובא-זנגרייה,132,2817,5587.88,8.4,9826.96,10.54
2016,טורעאן,551,5120,5740.27,3.36,11679.98,4.3
2016,טייבה,1471,16252,5848.0,0.8,7546.0,4.95
2016,טירה,1140,10731,6348.0,2.5,7652.0,2.73
2016,טירת כרמל,541,10486,7606.0,3.9,8597.0,5.22
2016,טמרה,902,12786,5468.0,3.4,8937.0,8.28
2016,יאנוח-ג'ת,161,2691,6915.53,-3.51,6232.51,4.13
2016,יבנאל,142,1360,6080.4,-0.33,7306.83,2.81
2016,יבנה,1592,21953,9523.0,-0.5,10769.0,0.44
2016,יהוד,1264,14422,11061.0,0.8,11669.0,3.22
2016,יסוד המעלה,143,2361,9620.0,-0.16,12407.0,8.15
2016,יפיע,579,7216,5826.95,3.27,8611.03,3.25
2016,יקנעם עילית,566,11374,10927.0,1.9,10456.0,2.79
2016,ירוחם,137,4356,7694.62,0.22,9473.14,5.2
2016,ירושלים,19777,276358,7179.0,1.4,8841.0,4.57
2016,ירכא,570,5541,6362.87,-1.36,7392.29,8.79
2016,כאבול,295,4419,5951.98,2.78,7059.95,7.74
2016,כאוכב אבו אל-היג'א,101,1521,6786.82,2.56,6845.38,5.47
2016,כוכב יאיר,496,4937,14084.12,0.31,14595.81,9.28
2016,כסיפה,114,4021,5568.27,2.51,8205.73,21.04
2016,כסרא-סמיע,217,3298,6830.95,0.92,6527.08,9.09
2016,כעביה-טבאש-חג'אג'רה,113,2161,5920.13,4.88,7554.02,13.35
2016,כפר ברא,117,1364,6370.92,5.24,8833.71,4.23
2016,כפר גלעדי,688,9146,9152.0,3.35,10756.0,2.67
2016,כפר ורדים,272,2699,13462.7,-0.54,10204.6,4.97
2016,כפר יאסיף,522,4357,6633.71,3.53,7715.16,7.88
2016,כפר יונה,976,9914,10433.0,-0.2,10926.0,5.42
2016,כפר כמא,119,1500,7768.73,0.79,8752.55,12.38
2016,כפר כנא,654,7821,5298.28,3.7,8870.71,3.68
2016,כפר מנדא,536,6447,5015.06,3.85,8851.39,3.26
2016,כפר סבא,4056,47215,11963.0,2.3,11951.0,-0.17
2016,כפר קאסם,832,8821,5784.0,3.2,7315.0,1.51
2016,כפר קרע,652,7916,6906.6,3.49,8776.05,9.53
2016,כפר שמריהו,100,704,15624.13,2.44,12242.09,-0.7
2016,כפר תבור,212,1995,12136.13,-0.99,11561.21,4.37
2016,כרמיאל,1273,23215,8426.0,1.5,8507.0,6.81
2016,להבים,171,3249,16075.12,-0.1,21319.44,13.03
2016,לוד,1624,32671,7085.0,2.6,8054.0,5.29
2016,לוזית,854,4714,9222.0,-0.14,10203.0,3.01
2016,לקיה,131,3833,5428.82,2.83,7879.35,3.48
2016,מבשרת ציון,917,11439,11619.92,1.51,11842.98,3.9
2016,מגאר,622,8270,5962.67,-1.23,8217.8,1.52
2016,מג'ד אל-כרום,431,6089,5589.9,5.31,9088.35,9.64
2016,מגדל,146,2817,5535.0,-3.48,7412.0,2.85
2016,מגדל העמק,511,12291,6998.0,1.5,8825.0,0.39
2016,מג'דל שמס,676,4067,4969.24,6.68,6499.25,11.93
2016,מודיעין עילית,907,13790,4612.0,3.6,5500.0,10.16
2016,מודיעין-מכבים-רעות*,3399,40318,13746.0,-2.8,12748.0,6.52
2016,מזכרת בתיה,342,3382,12775.0,-2.83,10342.0,0.77
2016,מזרעה,120,1812,6080.39,2.56,7522.99,-10.36
2016,מטולה,83,879,8459.08,-1.34,10316.11,7.36
2016,מיתר,240,4167,14912.54,1.0,13052.05,-0.99
2016,מנחמיה,237,2841,9251.0,-6.32,10713.0,-0.36
2016,מסעדה,219,1366,4997.46,6.02,6254.04,9.06
2016,מעיליא,140,1465,8963.35,3.03,9118.85,-3.71
2016,מעלה אדומים,1000,18873,9060.0,1.9,10118.0,2.82
2016,מעלה אפרים,24,748,6825.98,2.65,8195.91,53.83
2016,מעלה עירון,386,5201,5657.8,3.85,8567.45,0.8
2016,מעלות-תרשיחא,571,10676,7751.0,0.6,9075.0,2.15
2016,מצפה רמון,138,2196,6463.45,-9.03,7615.35,-10.58
2016,מרחביה (קיבוץ),202,3125,6383.0,5.14,9106.0,-0.26
2016,משהד,255,2920,5472.48,3.68,9160.19,2.95
2016,נהרייה,1739,27332,9208.0,0.9,10251.0,1.46
2016,נוגה,461,3499,9021.0,1.41,9518.0,3.06
2016,נועם,1366,12809,11682.0,0.67,11770.0,3.85
2016,נחף,353,4637,5637.88,6.78,6700.23,9.58
2016,ניר עוז,76,1835,5405.0,1.23,6956.0,15.93
2016,נס ציונה,1816,21566,12955.0,1.6,12643.0,0.99
2016,נצרת,2528,30680,6284.0,3.2,9335.0,4.58
2016,נצרת עילית,1057,20698,7206.0,2.0,9417.0,6.04
2016,נשר,664,11555,9563.0,2.2,10005.0,8.16
2016,נתיבות,760,13660,6348.0,1.0,8597.0,2.39
