,year,city,population
993,2017,בית שמש,109762
994,2017,בית שערים,762
995,2017,בית שקמה,859
996,2017,ביתן אהרן,377
997,2017,ביתר עילית,51636
998,2017,בלפוריה,445
999,2017,בן זכאי,1087
1000,2017,בן עמי,766
1001,2016,אבו גוש,6978
1002,2016,אבו סנאן,13358
1003,2016,אבו קורינאת (יישוב),1218
1004,2016,אבו תלול,117
1005,2016,אבטין,2689
1006,2016,אבטליון,381
1007,2016,אביאל,817
1008,2016,אביבים,496
1009,2016,אביגדור,763
1010,2016,אביחיל,1395
1011,2016,אביטל,499
1012,2016,אביעזר,847
1013,2016,אבירים,194
1014,2016,אבן יהודה,13221
1015,2016,אבן מנחם,264
1016,2016,אבן ספיר,740
1017,2016,אבן שמואל,1535
1018,2016,אבני איתן,633
1019,2016,אבני חפץ,1709
1020,2016,אבנת,128
1021,2016,אבשלום,258
1022,2016,אדורה,404
1023,2016,אדירים,267
1024,2016,אדמית,175
1025,2016,אדרת,869
1026,2016,אודים,1306
1027,2016,אודם,118
1028,2016,אוהד,404
1029,2016,אום אל-פחם,52500
1030,2016,אום אל-קוטוף,1037
1031,2016,אום בטין,3080
1032,2016,אומן,327
1033,2016,אומץ,782
1034,2016,אופקים,25638
1035,2016,אור הגנוז,454
1036,2016,אור הנר,708
1037,2016,אור יהודה,36164
1038,2016,אור עקיבא,17084
1039,2016,אורה,1301
1040,2016,אורון,-
1041,2016,אורות,498
1042,2016,אורטל,321
1043,2016,אורים,470
1044,2016,אורנים,177
1045,2016,אורנית,8495
1046,2016,אושה,462
1047,2016,אזור,12227
1048,2016,אזור תעסוקה משגב(תרדיון),-
1049,2016,אזור תעשייה אכזיב (מילואות),-
1050,2016,אזור תעשייה נעמן (מילואות),-
1051,2016,אחווה,235
1052,2016,אחוזם,517
1053,2016,אחוזת ברק,2095
1054,2016,אחיהוד,822
1055,2016,אחיטוב,1062
1056,2016,אחיסמך,1349
1057,2016,אחיעזר,1751
1058,2016,איבים,277
1059,2016,אייל,482
1060,2016,איילת השחר,1470
1061,2016,אילון,962
1062,2016,אילון תבור*,-
1063,2016,אילות,322
1064,2016,אילנייה,484
1065,2016,אילת,49734
1066,2016,אירוס,211
1067,2016,איתמר,1305
1068,2016,איתן,433
1069,2016,איתנים,92
1070,2016,אכסאל,13743
1071,2016,אל סייד,3384
1072,2016,אל -עזי,184
1073,2016,אל -עריאן,178
1074,2016,אל -רום,338
1075,2016,אלומה,502
1076,2016,אלומות,321
1077,2016,אלון הגליל,1003
1078,2016,אלון מורה,1794
1079,2016,אלון שבות,3218
1080,2016,אלוני אבא,1000
1081,2016,אלוני הבשן,368
1082,2016,אלוני יצחק,294
1083,2016,אלונים,470
1084,2016,אליאב,257
1085,2016,אליכין,3424
1086,2016,אלי-עד,350
1087,2016,אליפז,129
1088,2016,אליפלט,554
1089,2016,אליקים,857
1090,2016,אלישיב,728
1091,2016,אלישמע,1212
1092,2016,אלמגור,349
1093,2016,אלמוג,207
1094,2016,אלעד,44872
1095,2016,אלעזר,2577
1096,2016,אלפי מנשה,7638
1097,2016,אלקוש,318
1098,2016,אלקנה,3945
1099,2016,אמונים,934
1100,2016,אמירים,789
1101,2016,אמנון,289
1102,2016,אמציה,569
1103,2016,אניעם,503
1104,2016,אספר,583
1105,2016,אעבלין,12691
1106,2016,אפיק,277
1107,2016,אפיקים,1474
1108,2016,אפק,562
1109,2016,אפרת,8301
1110,2016,ארבל,673
1111,2016,ארגמן,133
1112,2016,ארז,487
1113,2016,אריאל,18717
1114,2016,ארסוף,154
1115,2016,אשבול,490
1116,2016,אשבל,105
1117,2016,אשדוד,220174
1118,2016,אשדות יעקב (איחוד),922
1119,2016,אשדות יעקב (מאוחד),506
1120,2016,אשחר,790
1121,2016,אשכולות,494
1122,2016,אשל הנשיא,244
1123,2016,אשלים,449
1124,2016,אשקלון,130660
1125,2016,אשרת,512
1126,2016,אשתאול,1200
1127,2016,באקה אל-גרביה,28125
1128,2016,באר אורה,617
1129,2016,באר גנים,368
1130,2016,באר טוביה,1030
1131,2016,באר יעקב,18401
1132,2016,באר מילכה,150
1133,2016,באר שבע,203604
1134,2016,בארות יצחק,415
1135,2016,בארותיים,1116
1136,2016,בארי,996
1137,2016,בוסתן הגליל,961
1138,2016,בועיינה-נוג'ידאת,9114
1139,2016,בוקעאתא,6329
1140,2016,בורגתה,1128
1141,2016,בחן,931
1142,2016,בטחה,721
1143,2016,"בי""ס אזורי מקיף (אשר)",-
1144,2016,ביצרון,1221
1145,2016,ביר אל-מכסור,8709
1146,2016,ביר הדאג',4583
1147,2016,בירייה,822
1148,2016,בית אורן,452
1149,2016,בית אל,6046
1150,2016,בית אלעזרי,1494
1151,2016,בית אלפא,862
1152,2016,בית אריה,4721
1153,2016,בית ברל,113
1154,2016,בית גוברין,436
1155,2016,בית גמליאל,953
1156,2016,בית ג'ן,11426
1157,2016,בית דגן,7099
1158,2016,בית הגדי,730
1159,2016,בית הלוי,813
1160,2016,בית הלל,765
1161,2016,בית העמק,511
1162,2016,בית הערבה,159
1163,2016,בית השיטה,1215
1164,2016,בית זיד,74
1165,2016,בית זית,1631
1166,2016,בית זרע,567
1167,2016,בית חולים פוריה,-
1168,2016,בית חורון,1228
1169,2016,בית חירות,881
1170,2016,בית חלקיה,888
1171,2016,בית חנן,573
1172,2016,בית חנניה,901
1173,2016,בית חשמונאי,2171
1174,2016,בית יהושע,1062
1175,2016,בית יוסף,433
1176,2016,בית ינאי,419
1177,2016,בית יצחק-שער חפר,2105
1178,2016,בית לחם הגלילית,777
1179,2016,בית מאיר,775
1180,2016,בית נחמיה,887
1181,2016,בית ניר,580
1182,2016,בית נקופה,633
1183,2016,בית עובד,309
1184,2016,בית עוזיאל,599
1185,2016,בית עזרא,1090
1186,2016,בית עריף,1112
1187,2016,בית צבי,201
1188,2016,בית קמה,1356
1189,2016,בית קשת,591
1190,2016,בית רבן,1057
1191,2016,בית רימון,623
1192,2016,בית שאן,17332
1193,2016,בית שמש,103922
1194,2016,בית שערים,747
1195,2016,בית שקמה,827
1196,2016,ביתן אהרן,361
1197,2016,ביתר עילית,49343
1198,2016,בלפוריה,435
1199,2016,בן זכאי,1083
1200,2016,בן עמי,745
1201,2015,אבו גוש,6795
1202,2015,אבו סנאן,13151
1203,2015,אבו קורינאת (יישוב),1150
1204,2015,אבו תלול,-
1205,2015,אבטין,2672
1206,2015,אבטליון,381
1207,2015,אביאל,781
1208,2015,אביבים,497
1209,2015,אביגדור,762
1210,2015,אביחיל,1402
1211,2015,אביטל,491
1212,2015,אביעזר,801
1213,2015,אבירים,183
1214,2015,אבן יהודה,12973
1215,2015,אבן מנחם,276
1216,2015,אבן ספיר,722
1217,2015,אבן שמואל,1455
1218,2015,אבני איתן,601
1219,2015,אבני חפץ,1658
1220,2015,אבנת,110
1221,2015,אבשלום,243
1222,2015,אדורה,367
1223,2015,אדירים,259
1224,2015,אדמית,135
1225,2015,אדרת,861
1226,2015,אודים,1281
1227,2015,אודם,109
1228,2015,אוהד,391
1229,2015,אום אל-פחם,51367
1230,2015,אום אל-קוטוף,1034
1231,2015,אום בטין,2929
1232,2015,אומן,325
1233,2015,אומץ,757
1234,2015,אופקים,25295
1235,2015,אור הגנוז,440
1236,2015,אור הנר,687
1237,2015,אור יהודה,35915
1238,2015,אור עקיבא,16756
1239,2015,אורה,1271
1240,2015,אורון,-
1241,2015,אורות,502
1242,2015,אורטל,304
1243,2015,אורים,482
1244,2015,אורנים,176
1245,2015,אורנית,8086
1246,2015,אושה,454
1247,2015,אזור,11979
1248,2015,אזור תעסוקה משגב(תרדיון),-
1249,2015,אזור תעשייה אכזיב (מילואות),-
1250,2015,אזור תעשייה נעמן (מילואות),-
1251,2015,אחווה,252
1252,2015,אחוזם,519
1253,2015,אחוזת ברק,2098
1254,2015,אחיהוד,802
1255,2015,אחיטוב,1045
1256,2015,אחיסמך,1336
1257,2015,אחיעזר,1760
1258,2015,איבים,256
1259,2015,אייל,474
1260,2015,איילת השחר,1498
1261,2015,אילון,942
1262,2015,אילון תבור*,-
1263,2015,אילות,324
1264,2015,אילנייה,488
1265,2015,אילת,48946
1266,2015,אירוס,102
1267,2015,איתמר,1275
1268,2015,איתן,418
1269,2015,איתנים,99
1270,2015,אכסאל,13403
1271,2015,אל סייד,3345
1272,2015,אל -עזי,186
1273,2015,אל -עריאן,173
1274,2015,אל -רום,323
1275,2015,אלומה,503
1276,2015,אלומות,284
1277,2015,אלון הגליל,974
1278,2015,אלון מורה,1773
1279,2015,אלון שבות,3141
1280,2015,אלוני אבא,988
1281,2015,אלוני הבשן,359
1282,2015,אלוני יצחק,284
1283,2015,אלונים,476
1284,2015,אליאב,202
1285,2015,אליכין,3407
1286,2015,אלי-עד,328
1287,2015,אליפז,121
1288,2015,אליפלט,532
1289,2015,אליקים,843
1290,2015,אלישיב,723
1291,2015,אלישמע,1204
1292,2015,אלמגור,335
1293,2015,אלמוג,179
1294,2015,אלעד,43627
1295,2015,אלעזר,2532
1296,2015,אלפי מנשה,7614
1297,2015,אלקוש,318
1298,2015,אלקנה,3871
1299,2015,אמונים,942
1300,2015,אמירים,744
1301,2015,אמנון,276
1302,2015,אמציה,536
1303,2015,אניעם,526
1304,2015,אספר,535
1305,2015,אעבלין,12479
1306,2015,אפיק,259
1307,2015,אפיקים,1480
1308,2015,אפק,539
1309,2015,אפרת,8131
1310,2015,ארבל,643
1311,2015,ארגמן,128
1312,2015,ארז,488
1313,2015,אריאל,18391
1314,2015,ארסוף,160
1315,2015,אשבול,455
1316,2015,אשבל,96
1317,2015,אשדוד,217959
1318,2015,אשדות יעקב (איחוד),895
1319,2015,אשדות יעקב (מאוחד),492
1320,2015,אשחר,775
1321,2015,אשכולות,494
1322,2015,אשל הנשיא,238
1323,2015,אשלים,417
1324,2015,אשקלון,126819
1325,2015,אשרת,471
1326,2015,אשתאול,1160
1327,2015,באקה אל-גרביה,27521
1328,2015,באר אורה,525
1329,2015,באר גנים,186
1330,2015,באר טוביה,1008
1331,2015,באר יעקב,17609
1332,2015,באר מילכה,134
1333,2015,באר שבע,201086
1334,2015,בארות יצחק,405
1335,2015,בארותיים,1100
1336,2015,בארי,971
1337,2015,בוסתן הגליל,887
1338,2015,בועיינה-נוג'ידאת,8896
1339,2015,בוקעאתא,6238
1340,2015,בורגתה,1134
1341,2015,בחן,896
1342,2015,בטחה,715
1343,2015,"בי""ס אזורי מקיף (אשר)",-
1344,2015,ביצרון,1206
1345,2015,ביר אל-מכסור,8489
1346,2015,ביר הדאג',4529
1347,2015,בירייה,812
1348,2015,בית אורן,422
1349,2015,בית אל,5991
1350,2015,בית אלעזרי,1441
1351,2015,בית אלפא,969
1352,2015,בית אריה,4516
1353,2015,בית ברל,109
1354,2015,בית גוברין,414
1355,2015,בית גמליאל,951
1356,2015,בית ג'ן,11253
1357,2015,בית דגן,7078
1358,2015,בית הגדי,711
1359,2015,בית הלוי,788
1360,2015,בית הלל,749
1361,2015,בית העמק,489
1362,2015,בית הערבה,134
1363,2015,בית השיטה,1201
1364,2015,בית זיד,67
1365,2015,בית זית,1610
1366,2015,בית זרע,553
1367,2015,בית חולים פוריה,-
1368,2015,בית חורון,1218
1369,2015,בית חירות,877
1370,2015,בית חלקיה,849
1371,2015,בית חנן,568
1372,2015,בית חנניה,877
1373,2015,בית חשמונאי,2158
1374,2015,בית יהושע,1057
1375,2015,בית יוסף,428
1376,2015,בית ינאי,433
1377,2015,בית יצחק-שער חפר,2116
1378,2015,בית לחם הגלילית,781
1379,2015,בית מאיר,784
1380,2015,בית נחמיה,890
1381,2015,בית ניר,557
1382,2015,בית נקופה,597
1383,2015,בית עובד,304
1384,2015,בית עוזיאל,574
1385,2015,בית עזרא,1103
1386,2015,בית עריף,1126
1387,2015,בית צבי,189
1388,2015,בית קמה,1353
1389,2015,בית קשת,562
1390,2015,בית רבן,920
1391,2015,בית רימון,589
1392,2015,בית שאן,17273
1393,2015,בית שמש,98084
1394,2015,בית שערים,754
1395,2015,בית שקמה,799
1396,2015,ביתן אהרן,371
1397,2015,ביתר עילית,46874
1398,2015,בלפוריה,421
1399,2015,בן זכאי,1080
1400,2015,בן עמי,735
1401,2014,אבו גוש,6600
1402,2014,אבו סנאן,13045
1403,2014,אבו קורינאת (יישוב),1133
1404,2014,אבו תלול,-
1405,2014,אבטין,2651
1406,2014,אבטליון,350
1407,2014,אביאל,780
1408,2014,אביבים,487
1409,2014,אביגדור,767
1410,2014,אביחיל,1381
1411,2014,אביטל,479
1412,2014,אביעזר,764
1413,2014,אבירים,186
1414,2014,אבן יהודה,12703
1415,2014,אבן מנחם,280
1416,2014,אבן ספיר,707
1417,2014,אבן שמואל,1350
1418,2014,אבני איתן,583
1419,2014,אבני חפץ,1675
1420,2014,אבנת,112
1421,2014,אבשלום,218
1422,2014,אדורה,330
1423,2014,אדירים,243
1424,2014,אדמית,117
1425,2014,אדרת,834
1426,2014,אודים,1251
1427,2014,אודם,104
1428,2014,אוהד,381
1429,2014,אום אל-פחם,50597
1430,2014,אום אל-קוטוף,1009
1431,2014,אום בטין,2824
1432,2014,אומן,319
1433,2014,אומץ,755
1434,2014,אופקים,25074
1435,2014,אור הגנוז,436
1436,2014,אור הנר,663
1437,2014,אור יהודה,35526
1438,2014,אור עקיבא,16560
1439,2014,אורה,1268
1440,2014,אורון,-
1441,2014,אורות,476
1442,2014,אורטל,291
1443,2014,אורים,489
1444,2014,אורנים,221
1445,2014,אורנית,7626
1446,2014,אושה,452
1447,2014,אזור,11840
1448,2014,אזור תעסוקה משגב(תרדיון),-
1449,2014,אזור תעשייה אכזיב (מילואות),-
1450,2014,אזור תעשייה נעמן (מילואות),-
1451,2014,אחווה,164
1452,2014,אחוזם,530
1453,2014,אחוזת ברק,2028
1454,2014,אחיהוד,810
1455,2014,אחיטוב,1031
1456,2014,אחיסמך,1342
1457,2014,אחיעזר,1828
1458,2014,איבים,348
1459,2014,אייל,475
1460,2014,איילת השחר,1674
1461,2014,אילון,921
1462,2014,אילון תבור*,-
1463,2014,אילות,348
1464,2014,אילנייה,488
1465,2014,אילת,48140
1466,2014,אירוס,-
1467,2014,איתמר,1026
1468,2014,איתן,417
1469,2014,איתנים,175
1470,2014,אכסאל,13095
1471,2014,אל סייד,3282
1472,2014,אל -עזי,183
1473,2014,אל -עריאן,169
1474,2014,אל -רום,318
1475,2014,אלומה,490
1476,2014,אלומות,253
1477,2014,אלון הגליל,928
1478,2014,אלון מורה,1653
1479,2014,אלון שבות,3112
1480,2014,אלוני אבא,976
1481,2014,אלוני הבשן,365
1482,2014,אלוני יצחק,286
1483,2014,אלונים,477
1484,2014,אליאב,149
1485,2014,אליכין,3364
1486,2014,אלי-עד,302
1487,2014,אליפז,108
1488,2014,אליפלט,562
1489,2014,אליקים,824
1490,2014,אלישיב,689
1491,2014,אלישמע,1171
1492,2014,אלמגור,350
1493,2014,אלמוג,175
1494,2014,אלעד,42561
1495,2014,אלעזר,2389
1496,2014,אלפי מנשה,7583
1497,2014,אלקוש,325
1498,2014,אלקנה,3871
1499,2014,אמונים,919
1500,2014,אמירים,727
1501,2014,אמנון,270
1502,2014,אמציה,545
1503,2014,אניעם,530
1504,2014,אספר,510
1505,2014,אעבלין,12276
1506,2014,אפיק,252
1507,2014,אפיקים,1466
1508,2014,אפק,519
1509,2014,אפרת,7912
1510,2014,ארבל,626
1511,2014,ארגמן,130
1512,2014,ארז,483
1513,2014,אריאל,18089
1514,2014,ארסוף,164
1515,2014,אשבול,413
1516,2014,אשבל,97
1517,2014,אשדוד,216511
1518,2014,אשדות יעקב (איחוד),867
1519,2014,אשדות יעקב (מאוחד),411
1520,2014,אשחר,723
1521,2014,אשכולות,491
1522,2014,אשל הנשיא,240
1523,2014,אשלים,411
1524,2014,אשקלון,123478
1525,2014,אשרת,398
1526,2014,אשתאול,1144
1527,2014,באקה אל-גרביה,27096
1528,2014,באר אורה,394
1529,2014,באר גנים,-
1530,2014,באר טוביה,950
1531,2014,באר יעקב,17521
1532,2014,באר מילכה,121
1533,2014,באר שבע,199334
1534,2014,בארות יצחק,388
1535,2014,בארותיים,1071
1536,2014,בארי,945
1537,2014,בוסתן הגליל,895
1538,2014,בועיינה-נוג'ידאת,8715
1539,2014,בוקעאתא,6170
1540,2014,בורגתה,1090
1541,2014,בחן,836
1542,2014,בטחה,698
1543,2014,"בי""ס אזורי מקיף (אשר)",-
1544,2014,ביצרון,1213
1545,2014,ביר אל-מכסור,8295
1546,2014,ביר הדאג',4472
1547,2014,בירייה,782
1548,2014,בית אורן,437
1549,2014,בית אל,5899
1550,2014,בית אלעזרי,1399
1551,2014,בית אלפא,1122
1552,2014,בית אריה,4322
1553,2014,בית ברל,81
1554,2014,בית גוברין,381
1555,2014,בית גמליאל,927
1556,2014,בית ג'ן,11145
1557,2014,בית דגן,7122
1558,2014,בית הגדי,679
1559,2014,בית הלוי,757
1560,2014,בית הלל,738
1561,2014,בית העמק,490
1562,2014,בית הערבה,132
1563,2014,בית השיטה,1170
1564,2014,בית זיד,49
1565,2014,בית זית,1589
1566,2014,בית זרע,523
1567,2014,בית חולים פוריה,-
1568,2014,בית חורון,1175
1569,2014,בית חירות,853
1570,2014,בית חלקיה,776
1571,2014,בית חנן,567
1572,2014,בית חנניה,858
1573,2014,בית חשמונאי,2127
1574,2014,בית יהושע,1008
1575,2014,בית יוסף,437
1576,2014,בית ינאי,426
1577,2014,בית יצחק-שער חפר,2069
1578,2014,בית לחם הגלילית,778
1579,2014,בית מאיר,797
1580,2014,בית נחמיה,899
1581,2014,בית ניר,546
1582,2014,בית נקופה,592
1583,2014,בית עובד,289
1584,2014,בית עוזיאל,554
1585,2014,בית עזרא,1094
1586,2014,בית עריף,1095
1587,2014,בית צבי,199
1588,2014,בית קמה,1249
1589,2014,בית קשת,505
1590,2014,בית רבן,1021
1591,2014,בית רימון,559
1592,2014,בית שאן,17263
1593,2014,בית שמש,94069
1594,2014,בית שערים,741
1595,2014,בית שקמה,781
1596,2014,ביתן אהרן,379
1597,2014,ביתר עילית,44927
1598,2014,בלפוריה,403
1599,2014,בן זכאי,1028
1600,2014,בן עמי,744
1601,2013,אבו גוש,6512
1602,2013,אבו סנאן,12596
1603,2013,אבו קורינאת (יישוב),1067
1604,2013,אבו תלול,-
1605,2013,אבטין,2680
1606,2013,אבטליון,320
1607,2013,אביאל,757
1608,2013,אביבים,481
1609,2013,אביגדור,743
1610,2013,אביחיל,1394
1611,2013,אביטל,470
1612,2013,אביעזר,742
1613,2013,אבירים,193
1614,2013,אבן יהודה,12412
1615,2013,אבן מנחם,269
1616,2013,אבן ספיר,679
1617,2013,אבן שמואל,1250
1618,2013,אבני איתן,583
1619,2013,אבני חפץ,1614
1620,2013,אבנת,97
1621,2013,אבשלום,199
1622,2013,אדורה,278
1623,2013,אדירים,239
1624,2013,אדמית,110
1625,2013,אדרת,797
1626,2013,אודים,1229
1627,2013,אודם,93
1628,2013,אוהד,372
1629,2013,אום אל-פחם,49502
1630,2013,אום אל-קוטוף,998
1631,2013,אום בטין,2602
1632,2013,אומן,304
1633,2013,אומץ,762
1634,2013,אופקים,24634
1635,2013,אור הגנוז,432
1636,2013,אור הנר,612
1637,2013,אור יהודה,35262
1638,2013,אור עקיבא,16206
1639,2013,אורה,1229
1640,2013,אורון,-
1641,2013,אורות,470
1642,2013,אורטל,276
1643,2013,אורים,485
1644,2013,אורנים,222
1645,2013,אורנית,7195
1646,2013,אושה,455
1647,2013,אזור,11701
1648,2013,אזור תעסוקה משגב(תרדיון),-
1649,2013,אזור תעשייה אכזיב (מילואות),-
1650,2013,אזור תעשייה נעמן (מילואות),-
1651,2013,אחווה,168
1652,2013,אחוזם,500
1653,2013,אחוזת ברק,1894
1654,2013,אחיהוד,808
1655,2013,אחיטוב,1010
1656,2013,אחיסמך,1288
1657,2013,אחיעזר,1850
1658,2013,איבים,334
1659,2013,אייל,462
1660,2013,איילת השחר,1565
1661,2013,אילון,943
1662,2013,אילון תבור*,-
1663,2013,אילות,331
1664,2013,אילנייה,471
1665,2013,אילת,47719
1666,2013,איתמר,1024
1667,2013,איתן,412
1668,2013,איתנים,181
1669,2013,אכסאל,13007
1670,2013,אל סייד,3057
1671,2013,אל -עזי,187
1672,2013,אל -עריאן,176
1673,2013,אל -רום,308
1674,2013,אלומה,479
1675,2013,אלומות,243
1676,2013,אלון הגליל,927
1677,2013,אלון מורה,1632
1678,2013,אלון שבות,3066
1679,2013,אלוני אבא,928
1680,2013,אלוני הבשן,343
1681,2013,אלוני יצחק,285
1682,2013,אלונים,467
1683,2013,אליכין,3231
1684,2013,אלי-עד,277
1685,2013,אליפז,96
1686,2013,אליפלט,559
1687,2013,אליקים,787
1688,2013,אלישיב,655
1689,2013,אלישמע,1179
1690,2013,אלמגור,345
1691,2013,אלמוג,178
1692,2013,אלעד,41360
1693,2013,אלעזר,2302
1694,2013,אלפי מנשה,7574
1695,2013,אלקוש,320
1696,2013,אלקנה,3860
1697,2013,אמונים,917
1698,2013,אמירים,696
1699,2013,אמנון,266
1700,2013,אמציה,536
1701,2013,אניעם,528
1702,2013,אספר,469
1703,2013,אעבלין,12275
1704,2013,אפיק,256
1705,2013,אפיקים,1443
1706,2013,אפק,517
1707,2013,אפרת,7812
1708,2013,ארבל,613
1709,2013,ארגמן,132
1710,2013,ארז,476
1711,2013,אריאל,18176
1712,2013,ארסוף,136
1713,2013,אשבול,369
1714,2013,אשבל,103
1715,2013,אשדוד,214886
1716,2013,אשדות יעקב (איחוד),777
1717,2013,אשדות יעקב (מאוחד),401
1718,2013,אשחר,672
1719,2013,אשכולות,510
1720,2013,אשל הנשיא,240
1721,2013,אשלים,386
1722,2013,אשקלון,120038
1723,2013,אשרת,422
1724,2013,אשתאול,1104
1725,2013,באקה אל-גרביה,26793
1726,2013,באר אורה,350
1727,2013,באר גנים,-
1728,2013,באר טוביה,918
1729,2013,באר יעקב,16316
1730,2013,באר מילכה,97
1731,2013,באר שבע,197269
1732,2013,בארות יצחק,398
1733,2013,בארותיים,1019
1734,2013,בארי,935
1735,2013,בוסתן הגליל,828
1736,2013,בועיינה-נוג'ידאת,8512
1737,2013,בוקעאתא,6124
1738,2013,בורגתה,1055
1739,2013,בחן,767
1740,2013,בטחה,681
1741,2013,"בי""ס אזורי מקיף (אשר)",-
1742,2013,ביצרון,1197
1743,2013,ביר אל-מכסור,8141
1744,2013,ביר הדאג',3183
1745,2013,בירייה,771
1746,2013,בית אורן,407
1747,2013,בית אל,5897
1748,2013,בית אלעזרי,1395
1749,2013,בית אלפא,1140
1750,2013,בית אריה,4166
1751,2013,בית ברל,81
1752,2013,בית גוברין,362
1753,2013,בית גמליאל,920
1754,2013,בית ג'ן,11409
1755,2013,בית דגן,7050
1756,2013,בית הגדי,689
1757,2013,בית הלוי,739
1758,2013,בית הלל,743
1759,2013,בית העמק,481
1760,2013,בית הערבה,119
1761,2013,בית השיטה,1131
1762,2013,בית זיד,50
1763,2013,בית זית,1558
1764,2013,בית זרע,536
1765,2013,בית חולים פוריה,-
1766,2013,בית חורון,1149
1767,2013,בית חירות,865
1768,2013,בית חלקיה,734
1769,2013,בית חנן,532
1770,2013,בית חנניה,819
1771,2013,בית חשמונאי,2087
1772,2013,בית יהושע,1006
1773,2013,בית יוסף,440
1774,2013,בית ינאי,419
1775,2013,בית יצחק-שער חפר,2008
1776,2013,בית לחם הגלילית,779
1777,2013,בית מאיר,781
1778,2013,בית נחמיה,888
1779,2013,בית ניר,522
1780,2013,בית נקופה,581
1781,2013,בית עובד,279
1782,2013,בית עוזיאל,541
1783,2013,בית עזרא,1071
1784,2013,בית עריף,1065
1785,2013,בית צבי,198
1786,2013,בית קמה,1240
1787,2013,בית קשת,476
1788,2013,בית רבן,1021
1789,2013,בית רימון,482
1790,2013,בית שאן,17184
1791,2013,בית שמש,89796
1792,2013,בית שערים,721
1793,2013,בית שקמה,769
1794,2013,ביתן אהרן,391
1795,2013,ביתר עילית,42467
1796,2013,בלפוריה,429
1797,2013,בן זכאי,968
1798,2013,בן עמי,735
1799,2013,בן שמן (כפר נוער),563
1800,2013,בן שמן (מושב),793
1801,2012,אבו גוש,6259
1802,2012,אבו סנאן,12839
1803,2012,אבו קורינאת (יישוב),1118
1804,2012,אבו תלול,-
1805,2012,אבטין,2550
1806,2012,אבטליון,319
1807,2012,אביאל,714
1808,2012,אביבים,454
1809,2012,אביגדור,725
1810,2012,אביחיל,1372
1811,2012,אביטל,468
1812,2012,אביעזר,662
1813,2012,אבירים,181
1814,2012,אבן יהודה,11814
1815,2012,אבן מנחם,260
1816,2012,אבן ספיר,667
1817,2012,אבן שמואל,976
1818,2012,אבני איתן,528
1819,2012,אבני חפץ,1551
1820,2012,אבנת,116
1821,2012,אבשלום,156
1822,2012,אדורה,268
1823,2012,אדירים,234
1824,2012,אדמית,131
1825,2012,אדרת,695
1826,2012,אודים,1230
1827,2012,אודם,90
1828,2012,אוהד,369
1829,2012,אום אל-פחם,48436
1830,2012,אום אל-קוטוף,936
1831,2012,אום בטין,2326
1832,2012,אומן,295
1833,2012,אומץ,713
1834,2012,אופקים,24397
1835,2012,אור הגנוז,442
1836,2012,אור הנר,466
1837,2012,אור יהודה,35220
1838,2012,אור עקיבא,15920
1839,2012,אורה,1198
1840,2012,אורון,-
1841,2012,אורות,467
1842,2012,אורטל,284
1843,2012,אורים,472
1844,2012,אורנים,246
1845,2012,אורנית,6628
1846,2012,אושה,449
1847,2012,אזור,11652
1848,2012,אזור תעסוקה מיתרים*,-
1849,2012,אזור תעסוקה משגב,-
1850,2012,אזור תעשייה אכזיב (מילואות),-
1851,2012,אזור תעשייה נעמן (מילואות),-
1852,2012,אחווה,189
1853,2012,אחוזם,500
1854,2012,אחוזת ברק,1641
1855,2012,אחיהוד,768
1856,2012,אחיטוב,1012
1857,2012,אחיסמך,1247
1858,2012,אחיעזר,1727
1859,2012,איבים,120
1860,2012,אייל,453
1861,2012,איילת השחר,1611
1862,2012,אילון,930
1863,2012,אילון תבור*,-
1864,2012,אילות,354
1865,2012,אילנייה,466
1866,2012,אילת,46770
1867,2012,איתמר,1147
1868,2012,איתן,410
1869,2012,איתנים,77
1870,2012,אכסאל,12683
1871,2012,אל סייד,3127
1872,2012,אל -עזי,147
1873,2012,אל -עריאן,172
1874,2012,אל -רום,306
1875,2012,אלומה,548
1876,2012,אלומות,212
1877,2012,אלון הגליל,941
1878,2012,אלון מורה,1498
1879,2012,אלון שבות,3047
1880,2012,אלוני אבא,917
1881,2012,אלוני הבשן,310
1882,2012,אלוני יצחק,285
1883,2012,אלונים,461
1884,2012,אליכין,3102
1885,2012,אלי-עד,251
1886,2012,אליפז,93
1887,2012,אליפלט,537
1888,2012,אליקים,771
1889,2012,אלישיב,626
1890,2012,אלישמע,1150
1891,2012,אלמגור,324
1892,2012,אלמוג,158
1893,2012,אלעד,39598
1894,2012,אלעזר,2087
1895,2012,אלפי מנשה,7449
1896,2012,אלקוש,332
1897,2012,אלקנה,3735
1898,2012,אמונים,906
1899,2012,אמירים,679
1900,2012,אמנון,268
1901,2012,אמציה,524
1902,2012,אניעם,501
1903,2012,אספר,408
1904,2012,אעבלין,11930
1905,2012,אפיק,255
1906,2012,אפיקים,1414
1907,2012,אפק,503
1908,2012,אפרתה,7697
1909,2012,ארבל,566
1910,2012,ארגמן,165
1911,2012,ארז,453
1912,2012,אריאל,17865
1913,2012,ארסוף,148
1914,2012,אשבול,346
1915,2012,אשבל,87
1916,2012,אשדוד,212667
1917,2012,אשדות יעקב (איחוד),748
1918,2012,אשדות יעקב (מאוחד),401
1919,2012,אשחר,608
1920,2012,אשכולות,662
1921,2012,אשל הנשיא,255
1922,2012,אשלים,312
1923,2012,אשקלון,117626
1924,2012,אשרת,639
